trial,bet,sampleFrequency,reportedFrequency,reactionTime,error,sampleFreqP,reportedFrequencyP,mainFrequency,mainFreqP,score,stimulusDuration,timeBtwTriggerAndStim
2,1,554.9719336315292,324.17910447761193,11105,230.79282915391724,73.0189354647815,63.7114509445115,554.3652619537442,73.0,0.0,250,2
2,2,554.9719336315292,251.34328358208955,12267,303.6286500494396,73.0189354647815,59.305867367655914,554.3652619537442,73.0,0.0,250,2
2,3,554.9719336315292,411.3432835820895,13560,143.62865004943967,73.0189354647815,67.83407236331065,554.3652619537442,73.0,0.0,250,2
2,4,554.9719336315292,208.3582089552239,14941,346.6137246763053,73.0189354647815,56.05874900537499,554.3652619537442,73.0,0.0,250,2
2,5,554.9719336315292,486.56716417910445,16118,68.40476945242472,73.0189354647815,70.74162528028045,554.3652619537442,73.0,0.0,250,2
2,6,554.9719336315292,554.6268656716418,20331,0.3450679598873876,73.0189354647815,73.008167727451,554.3652619537442,73.0,52.0,250,2
3,1,626.3721673318721,1189.8507462686566,36564,-563.4785789367845,75.11419901474005,86.22246222892787,622.2539674441618,75.0,0.0,250,0
3,2,626.3721673318721,1097.910447761194,38598,-471.53828042932196,75.11419901474005,84.83021946380242,622.2539674441618,75.0,0.0,250,0
3,3,626.3721673318721,1261.4925373134326,41060,-635.1203699815605,75.11419901474005,87.23467491407845,622.2539674441618,75.0,0.0,250,0
3,4,626.3721673318721,1138.5074626865671,41942,-512.135295354695,75.11419901474005,85.45881983061224,622.2539674441618,75.0,0.0,250,0
3,5,626.3721673318721,980.8955223880596,48675,-354.5233550561875,75.11419901474005,82.87915147026006,622.2539674441618,75.0,0.0,250,0
3,6,626.3721673318721,1035.8208955223881,51105,-409.448728190516,75.11419901474005,83.82238966044665,622.2539674441618,75.0,0.0,250,0
4,1,745.6476082714603,658.5074626865671,66689,87.14014558489316,78.1318854322957,75.98035519795576,739.9888454232688,78.0,0.0,250,0
4,2,745.6476082714603,568.955223880597,69466,176.69238439086325,78.1318854322957,73.44973913777847,739.9888454232688,78.0,0.0,250,0
4,3,745.6476082714603,750.4477611940298,72127,-4.800152922569509,78.1318854322957,78.24297750390525,739.9888454232688,78.0,51.0,250,0
4,4,745.6476082714603,494.9253731343283,74582,250.72223513713197,78.1318854322957,71.03648978880817,739.9888454232688,78.0,51.0,250,0
4,5,745.6476082714603,817.3134328358209,76726,-71.6658245643606,78.1318854322957,79.72063106595397,739.9888454232688,78.0,51.0,250,0
4,6,745.6476082714603,413.7313432835821,79263,331.9162649878782,78.1318854322957,67.93428879650573,739.9888454232688,78.0,51.0,250,0
5,1,464.65696336485234,360.0,95627,104.65696336485234,69.9439500544665,65.52592059366019,466.1637615180899,70.0,0.0,250,0
5,2,464.65696336485234,NaN,NaN,NaN,69.9439500544665,NaN,466.1637615180899,70.0,0,250,0
5,3,464.65696336485234,450.7462686567164,120260,13.910694708135964,69.9439500544665,69.41774430140846,466.1637615180899,70.0,39.0,250,0
5,4,464.65696336485234,NaN,NaN,NaN,69.9439500544665,NaN,466.1637615180899,70.0,0,250,0
5,5,464.65696336485234,282.3880597014925,147763,182.26890366335982,69.9439500544665,61.3221067709319,466.1637615180899,70.0,39.0,250,0
5,6,464.65696336485234,NaN,NaN,NaN,69.9439500544665,NaN,466.1637615180899,70.0,0,250,0
